##########normalizacion_palabras##########
acetilsalicilicas                       acetilsalicílico                        AQ0FP0   I  # acetilsalicilicas
acetil-salicílicas                      acetilsalicílico                        AQ0FP0   I  # acetil-salicílicas
acetilsalicílicas                       acetilsalicílico                        AQ0FP0   I  # acetilsalicílicas
acetil-salicilico                       acetilsalicílico                        AQ0MS0   I  # acetil-salicilico
acetilsalicilico                        acetilsalicílico                        AQ0MS0   I  # acetilsalicilico
acetil-salicílico                       acetilsalicílico                        AQ0MS0   I  # acetil-salicílico
acetilsalicílico                        acetilsalicílico                        AQ0MS0   I  # acetilsalicílico
acetil-salicilicos                      acetilsalicílico                        AQ0MP0   I  # acetil-salicilicos
acetilsalicilicos                       acetilsalicílico                        AQ0MP0   I  # acetilsalicilicos
acetil-salicílicos                      acetilsalicílico                        AQ0MP0   I  # acetil-salicílicos
acetilsalicílicos                       acetilsalicílico                        AQ0MP0   I  # acetilsalicílicos
acetonido                               acetonido                               NCMS000  I  # acetonido
acetónido                               acetónido                               NCMS000  I  # acetónido
acetonidos                              acetonido                               NCMP000  I  # acetonidos
acetónidos                              acetónido                               NCMP000  I  # acetónidos
aciclovir                               aciclovir                               NCMS000  I  # aciclovir
acid                                    acid                                    NCCS000  I  # acid
acido-alcohol                           acidoalcohol                            NCMS000  I  # acido-alcohol
acidoalcohol                            acidoalcohol                            NCMS000  I  # acidoalcohol
ácido-alcohol                           acidoalcohol                            NCMS000  I  # ácido-alcohol
ácidoalcohol                            acidoalcohol                            NCMS000  I  # ácidoalcohol
acido-alcoholes                         acidoalcohol                            NCMP000  I  # acido-alcoholes
acidoalcoholes                          acidoalcohol                            NCMP000  I  # acidoalcoholes
ácido-alcoholes                         acidoalcohol                            NCMP000  I  # ácido-alcoholes
ácidoalcoholes                          acidoalcohol                            NCMP000  I  # ácidoalcoholes
ácido-base                              ácido-base                              NCCS000  I  # ácido-base
ácidobase                               ácido-base                              NCCS000  I  # ácidobase
acidobásica                             acidobásico                             AQ0FS0   I  # acidobásica
ácido-básica                            acidobásico                             AQ0FS0   I  # ácido-básica
ácidobásica                             acidobásico                             AQ0FS0   I  # ácidobásica
acidobásicas                            acidobásico                             AQ0FP0   I  # acidobásicas
ácido-básicas                           acidobásico                             AQ0FP0   I  # ácido-básicas
ácidobásicas                            acidobásico                             AQ0FP0   I  # ácidobásicas
acidobásico                             acidobásico                             AQ0MS0   I  # acidobásico
ácido-básico                            acidobásico                             AQ0MS0   I  # ácido-básico
ácidobásico                             acidobásico                             AQ0MS0   I  # ácidobásico
acidobásicos                            acidobásico                             AQ0MP0   I  # acidobásicos
ácido-básicos                           acidobásico                             AQ0MP0   I  # ácido-básicos
ácidobásicos                            acidobásico                             AQ0MP0   I  # ácidobásicos
acidótica                               acidótico                               AQ0FS0   I  # acidótica
acidóticas                              acidótico                               AQ0FP0   I  # acidóticas
acidótico                               acidótico                               AQ0MS0   I  # acidótico
acidóticos                              acidótico                               AQ0MP0   I  # acidóticos
ácigos                                  ácigo                                   AQ0CN00  I  # ácigos
acinar                                  acinar                                  AQ0CS0   I  # acinar
acinares                                acinar                                  AQ0CP0   I  # acinares
acinares-papilares                      acinar-papilar                          AQ0CP0   I  # acinares-papilares
acinar-papilar                          acinar-papilar                          AQ0CS0   I  # acinar-papilar
acinar-papilares                        acinar-papilar                          AQ0CP0   I  # acinar-papilares
acinetobacter                           acinetobacter                           NCCS000  I  # acinetobacter
acino                                   acino                                   NCMS000  I  # acino
acinos                                  acino                                   NCMP000  I  # acinos
acitretina                              acitretina                              NCFS000  I  # acitretina
acnes                                   acnes                                   NCCS000  I  # acnes
acolia                                  acolia                                  NCFS000  I  # acolia
acompañantes-traductor                  acompañante-traductor                   AQ0CP0   I  # acompañantes-traductor
acompañantes-traductores                acompañante-traductor                   AQ0CP0   I  # acompañantes-traductores
acompañante-traductor                   acompañante-traductor                   AQ0CS0   I  # acompañante-traductor
acompañante-traductores                 acompañante-traductor                   AQ0CP0   I  # acompañante-traductores
